date	county	state	fips	cases	deaths
6/28/2020	Alcona	Michigan	26001	21	1
6/29/2020	Alcona	Michigan	26001	21	1
6/30/2020	Alcona	Michigan	26001	22	1
7/1/2020	Alcona	Michigan	26001	21	1
7/2/2020	Alcona	Michigan	26001	22	1
7/3/2020	Alcona	Michigan	26001	22	1
7/4/2020	Alcona	Michigan	26001	22	1
7/5/2020	Alcona	Michigan	26001	22	1
7/6/2020	Alcona	Michigan	26001	22	1
7/7/2020	Alcona	Michigan	26001	22	1
7/8/2020	Alcona	Michigan	26001	22	1
6/10/2020	Alger	Michigan	26003	1	0
6/11/2020	Alger	Michigan	26003	1	0
6/12/2020	Alger	Michigan	26003	1	0
6/13/2020	Alger	Michigan	26003	1	0
6/14/2020	Alger	Michigan	26003	1	0
6/15/2020	Alger	Michigan	26003	1	0
6/16/2020	Alger	Michigan	26003	1	0
6/17/2020	Alger	Michigan	26003	2	0
6/18/2020	Alger	Michigan	26003	2	0
6/19/2020	Alger	Michigan	26003	2	0
6/20/2020	Alger	Michigan	26003	2	0
6/21/2020	Alger	Michigan	26003	2	0
6/22/2020	Alger	Michigan	26003	2	0
6/23/2020	Alger	Michigan	26003	2	0
6/24/2020	Alger	Michigan	26003	2	0
6/25/2020	Alger	Michigan	26003	2	0
6/26/2020	Alger	Michigan	26003	2	0
6/27/2020	Alger	Michigan	26003	3	0
6/28/2020	Alger	Michigan	26003	3	0
6/29/2020	Alger	Michigan	26003	3	0
6/30/2020	Alger	Michigan	26003	3	0
7/1/2020	Alger	Michigan	26003	4	0
7/2/2020	Alger	Michigan	26003	4	0
7/3/2020	Alger	Michigan	26003	4	0
7/4/2020	Alger	Michigan	26003	4	0
7/5/2020	Alger	Michigan	26003	4	0
7/6/2020	Alger	Michigan	26003	4	0
7/7/2020	Alger	Michigan	26003	4	0
7/8/2020	Alger	Michigan	26003	4	0
3/21/2020	Allegan	Michigan	26005	1	0
3/22/2020	Allegan	Michigan	26005	1	0
3/23/2020	Allegan	Michigan	26005	1	0
3/24/2020	Allegan	Michigan	26005	1	0
3/25/2020	Allegan	Michigan	26005	1	0
3/26/2020	Allegan	Michigan	26005	1	0
3/27/2020	Allegan	Michigan	26005	1	0
3/28/2020	Allegan	Michigan	26005	2	0
3/29/2020	Allegan	Michigan	26005	2	0
3/30/2020	Allegan	Michigan	26005	2	0
3/31/2020	Allegan	Michigan	26005	3	0
4/1/2020	Allegan	Michigan	26005	5	0
4/2/2020	Allegan	Michigan	26005	5	0
4/3/2020	Allegan	Michigan	26005	6	0
4/4/2020	Allegan	Michigan	26005	10	0
4/5/2020	Allegan	Michigan	26005	14	0
4/6/2020	Allegan	Michigan	26005	15	0
4/7/2020	Allegan	Michigan	26005	18	0
4/8/2020	Allegan	Michigan	26005	18	0
4/9/2020	Allegan	Michigan	26005	18	0
4/10/2020	Allegan	Michigan	26005	19	0
4/11/2020	Allegan	Michigan	26005	19	0
4/12/2020	Allegan	Michigan	26005	21	0
4/13/2020	Allegan	Michigan	26005	23	0
4/14/2020	Allegan	Michigan	26005	23	0
4/15/2020	Allegan	Michigan	26005	25	0
4/16/2020	Allegan	Michigan	26005	25	0
4/17/2020	Allegan	Michigan	26005	29	0
4/18/2020	Allegan	Michigan	26005	33	0
4/19/2020	Allegan	Michigan	26005	41	0
4/20/2020	Allegan	Michigan	26005	42	0
4/21/2020	Allegan	Michigan	26005	47	0
4/22/2020	Allegan	Michigan	26005	50	0
4/23/2020	Allegan	Michigan	26005	56	0
4/24/2020	Allegan	Michigan	26005	60	1
4/25/2020	Allegan	Michigan	26005	65	1
4/26/2020	Allegan	Michigan	26005	69	1
4/27/2020	Allegan	Michigan	26005	72	1
4/28/2020	Allegan	Michigan	26005	84	1
4/29/2020	Allegan	Michigan	26005	94	2
4/30/2020	Allegan	Michigan	26005	98	2
5/1/2020	Allegan	Michigan	26005	104	2
5/2/2020	Allegan	Michigan	26005	108	2
5/3/2020	Allegan	Michigan	26005	113	2
5/4/2020	Allegan	Michigan	26005	116	2
5/5/2020	Allegan	Michigan	26005	120	2
5/6/2020	Allegan	Michigan	26005	124	2
5/7/2020	Allegan	Michigan	26005	126	2
5/8/2020	Allegan	Michigan	26005	130	2
5/9/2020	Allegan	Michigan	26005	136	2
5/10/2020	Allegan	Michigan	26005	150	2
5/11/2020	Allegan	Michigan	26005	157	2
5/12/2020	Allegan	Michigan	26005	161	2
5/13/2020	Allegan	Michigan	26005	165	2
5/14/2020	Allegan	Michigan	26005	168	2
5/15/2020	Allegan	Michigan	26005	173	2
5/16/2020	Allegan	Michigan	26005	174	2
5/17/2020	Allegan	Michigan	26005	179	2
5/18/2020	Allegan	Michigan	26005	186	2
5/19/2020	Allegan	Michigan	26005	184	3
5/20/2020	Allegan	Michigan	26005	191	5
5/21/2020	Allegan	Michigan	26005	195	5
5/22/2020	Allegan	Michigan	26005	197	6
5/23/2020	Allegan	Michigan	26005	202	7
5/24/2020	Allegan	Michigan	26005	210	7
5/25/2020	Allegan	Michigan	26005	210	6
5/26/2020	Allegan	Michigan	26005	212	6
5/27/2020	Allegan	Michigan	26005	211	6
5/28/2020	Allegan	Michigan	26005	214	6
5/29/2020	Allegan	Michigan	26005	216	6
5/30/2020	Allegan	Michigan	26005	217	6
5/31/2020	Allegan	Michigan	26005	218	6
6/1/2020	Allegan	Michigan	26005	257	6
6/2/2020	Allegan	Michigan	26005	258	6
6/3/2020	Allegan	Michigan	26005	258	6
6/4/2020	Allegan	Michigan	26005	261	6
6/5/2020	Allegan	Michigan	26005	263	6
6/6/2020	Allegan	Michigan	26005	263	6
6/7/2020	Allegan	Michigan	26005	266	6
6/8/2020	Allegan	Michigan	26005	268	6
6/9/2020	Allegan	Michigan	26005	273	6
6/10/2020	Allegan	Michigan	26005	274	6
6/11/2020	Allegan	Michigan	26005	277	6
6/12/2020	Allegan	Michigan	26005	280	6
6/13/2020	Allegan	Michigan	26005	283	6
6/14/2020	Allegan	Michigan	26005	286	6
6/15/2020	Allegan	Michigan	26005	287	6
6/16/2020	Allegan	Michigan	26005	288	6
6/17/2020	Allegan	Michigan	26005	288	6
6/18/2020	Allegan	Michigan	26005	291	6
6/19/2020	Allegan	Michigan	26005	292	6
6/20/2020	Allegan	Michigan	26005	297	6
6/21/2020	Allegan	Michigan	26005	299	6
6/22/2020	Allegan	Michigan	26005	301	6
6/23/2020	Allegan	Michigan	26005	301	6
6/24/2020	Allegan	Michigan	26005	303	6
6/25/2020	Allegan	Michigan	26005	301	6
6/26/2020	Allegan	Michigan	26005	302	6
6/27/2020	Allegan	Michigan	26005	303	6
6/28/2020	Allegan	Michigan	26005	306	6
6/29/2020	Allegan	Michigan	26005	308	6
6/30/2020	Allegan	Michigan	26005	312	7
7/1/2020	Allegan	Michigan	26005	317	7
7/2/2020	Allegan	Michigan	26005	325	7
7/3/2020	Allegan	Michigan	26005	328	7
7/4/2020	Allegan	Michigan	26005	331	7
7/5/2020	Allegan	Michigan	26005	333	7
7/6/2020	Allegan	Michigan	26005	338	7
7/7/2020	Allegan	Michigan	26005	346	7
7/8/2020	Allegan	Michigan	26005	353	7
3/28/2020	Allen	Ohio	39003	2	0
3/29/2020	Allen	Ohio	39003	4	0
3/30/2020	Allen	Ohio	39003	4	0
3/31/2020	Allen	Ohio	39003	5	0
4/1/2020	Allen	Ohio	39003	6	0
4/2/2020	Allen	Ohio	39003	10	0
4/3/2020	Allen	Ohio	39003	13	0
4/4/2020	Allen	Ohio	39003	15	0
4/5/2020	Allen	Ohio	39003	18	0
4/6/2020	Allen	Ohio	39003	19	0
4/7/2020	Allen	Ohio	39003	22	1
4/8/2020	Allen	Ohio	39003	23	1
4/9/2020	Allen	Ohio	39003	23	1
4/10/2020	Allen	Ohio	39003	24	1
4/11/2020	Allen	Ohio	39003	27	1
4/12/2020	Allen	Ohio	39003	33	2
4/13/2020	Allen	Ohio	39003	37	4
4/14/2020	Allen	Ohio	39003	46	4
4/15/2020	Allen	Ohio	39003	51	4
4/16/2020	Allen	Ohio	39003	57	6
4/17/2020	Allen	Ohio	39003	65	9
4/18/2020	Allen	Ohio	39003	70	11
4/19/2020	Allen	Ohio	39003	79	11
4/20/2020	Allen	Ohio	39003	84	11
4/21/2020	Allen	Ohio	39003	88	12
4/22/2020	Allen	Ohio	39003	94	12
4/23/2020	Allen	Ohio	39003	100	14
4/24/2020	Allen	Ohio	39003	108	15
4/25/2020	Allen	Ohio	39003	108	17
4/26/2020	Allen	Ohio	39003	106	18
4/27/2020	Allen	Ohio	39003	103	18
4/28/2020	Allen	Ohio	39003	103	19
4/29/2020	Allen	Ohio	39003	116	22
4/30/2020	Allen	Ohio	39003	121	23
5/1/2020	Allen	Ohio	39003	121	23
5/2/2020	Allen	Ohio	39003	123	23
5/3/2020	Allen	Ohio	39003	124	23
5/4/2020	Allen	Ohio	39003	133	23
5/5/2020	Allen	Ohio	39003	135	25
5/6/2020	Allen	Ohio	39003	139	28
5/7/2020	Allen	Ohio	39003	138	28
5/8/2020	Allen	Ohio	39003	139	29
5/9/2020	Allen	Ohio	39003	144	29
5/10/2020	Allen	Ohio	39003	144	29
5/11/2020	Allen	Ohio	39003	146	29
5/12/2020	Allen	Ohio	39003	154	30
5/13/2020	Allen	Ohio	39003	155	30
5/14/2020	Allen	Ohio	39003	164	30
5/15/2020	Allen	Ohio	39003	164	30
5/16/2020	Allen	Ohio	39003	165	30
5/17/2020	Allen	Ohio	39003	167	30
5/18/2020	Allen	Ohio	39003	168	30
5/19/2020	Allen	Ohio	39003	171	30
5/20/2020	Allen	Ohio	39003	172	30
5/21/2020	Allen	Ohio	39003	176	31
5/22/2020	Allen	Ohio	39003	178	31
5/23/2020	Allen	Ohio	39003	184	31
5/24/2020	Allen	Ohio	39003	189	31
5/25/2020	Allen	Ohio	39003	191	31
5/26/2020	Allen	Ohio	39003	191	31
5/27/2020	Allen	Ohio	39003	201	32
5/28/2020	Allen	Ohio	39003	206	32
5/29/2020	Allen	Ohio	39003	212	32
5/30/2020	Allen	Ohio	39003	211	32
5/31/2020	Allen	Ohio	39003	212	32
6/1/2020	Allen	Ohio	39003	212	33
6/2/2020	Allen	Ohio	39003	212	33
6/3/2020	Allen	Ohio	39003	214	33
6/4/2020	Allen	Ohio	39003	219	33
6/5/2020	Allen	Ohio	39003	221	33
6/6/2020	Allen	Ohio	39003	222	33
6/7/2020	Allen	Ohio	39003	222	33
6/8/2020	Allen	Ohio	39003	224	34
6/9/2020	Allen	Ohio	39003	227	34
6/10/2020	Allen	Ohio	39003	229	34
6/11/2020	Allen	Ohio	39003	233	34
6/12/2020	Allen	Ohio	39003	232	34
6/13/2020	Allen	Ohio	39003	238	35
6/14/2020	Allen	Ohio	39003	240	35
6/15/2020	Allen	Ohio	39003	241	36
6/16/2020	Allen	Ohio	39003	241	36
6/17/2020	Allen	Ohio	39003	242	36
6/18/2020	Allen	Ohio	39003	246	36
6/19/2020	Allen	Ohio	39003	247	37
6/20/2020	Allen	Ohio	39003	248	37
6/21/2020	Allen	Ohio	39003	251	37
6/22/2020	Allen	Ohio	39003	253	37
6/23/2020	Allen	Ohio	39003	255	38
6/24/2020	Allen	Ohio	39003	257	38
6/25/2020	Allen	Ohio	39003	261	38
6/26/2020	Allen	Ohio	39003	264	38
6/27/2020	Allen	Ohio	39003	265	38
6/28/2020	Allen	Ohio	39003	269	38
6/29/2020	Allen	Ohio	39003	284	38
6/30/2020	Allen	Ohio	39003	293	38
7/1/2020	Allen	Ohio	39003	297	40
7/2/2020	Allen	Ohio	39003	297	40
7/3/2020	Allen	Ohio	39003	305	40
7/4/2020	Allen	Ohio	39003	308	40
7/5/2020	Allen	Ohio	39003	315	40
7/6/2020	Allen	Ohio	39003	321	41
7/7/2020	Allen	Ohio	39003	323	41
7/8/2020	Allen	Ohio	39003	328	41
4/11/2020	Alpena	Michigan	26007	1	0
4/12/2020	Alpena	Michigan	26007	1	0
4/13/2020	Alpena	Michigan	26007	1	0
4/14/2020	Alpena	Michigan	26007	1	0
4/15/2020	Alpena	Michigan	26007	1	0
4/16/2020	Alpena	Michigan	26007	2	0
4/17/2020	Alpena	Michigan	26007	2	1
4/18/2020	Alpena	Michigan	26007	2	1
4/19/2020	Alpena	Michigan	26007	14	1
4/20/2020	Alpena	Michigan	26007	15	1
4/21/2020	Alpena	Michigan	26007	35	1
4/22/2020	Alpena	Michigan	26007	38	1
4/23/2020	Alpena	Michigan	26007	47	1
4/24/2020	Alpena	Michigan	26007	60	2
4/25/2020	Alpena	Michigan	26007	60	2
4/26/2020	Alpena	Michigan	26007	60	2
4/27/2020	Alpena	Michigan	26007	60	2
4/28/2020	Alpena	Michigan	26007	67	4
4/29/2020	Alpena	Michigan	26007	76	4
4/30/2020	Alpena	Michigan	26007	82	5
5/1/2020	Alpena	Michigan	26007	82	6
5/2/2020	Alpena	Michigan	26007	82	6
5/3/2020	Alpena	Michigan	26007	83	6
5/4/2020	Alpena	Michigan	26007	83	7
5/5/2020	Alpena	Michigan	26007	85	7
5/6/2020	Alpena	Michigan	26007	86	7
5/7/2020	Alpena	Michigan	26007	86	8
5/8/2020	Alpena	Michigan	26007	86	8
5/9/2020	Alpena	Michigan	26007	87	8
5/10/2020	Alpena	Michigan	26007	87	8
5/11/2020	Alpena	Michigan	26007	87	8
5/12/2020	Alpena	Michigan	26007	87	8
5/13/2020	Alpena	Michigan	26007	88	8
5/14/2020	Alpena	Michigan	26007	88	8
5/15/2020	Alpena	Michigan	26007	90	8
5/16/2020	Alpena	Michigan	26007	91	9
5/17/2020	Alpena	Michigan	26007	91	9
5/18/2020	Alpena	Michigan	26007	91	9
5/19/2020	Alpena	Michigan	26007	91	9
5/20/2020	Alpena	Michigan	26007	91	9
5/21/2020	Alpena	Michigan	26007	92	9
5/22/2020	Alpena	Michigan	26007	93	9
5/23/2020	Alpena	Michigan	26007	94	9
5/24/2020	Alpena	Michigan	26007	95	9
5/25/2020	Alpena	Michigan	26007	95	9
5/26/2020	Alpena	Michigan	26007	95	9
5/27/2020	Alpena	Michigan	26007	95	9
5/28/2020	Alpena	Michigan	26007	94	9
5/29/2020	Alpena	Michigan	26007	94	9
5/30/2020	Alpena	Michigan	26007	94	9
5/31/2020	Alpena	Michigan	26007	94	9
6/1/2020	Alpena	Michigan	26007	103	9
6/2/2020	Alpena	Michigan	26007	103	9
6/3/2020	Alpena	Michigan	26007	104	9
6/4/2020	Alpena	Michigan	26007	104	9
6/5/2020	Alpena	Michigan	26007	103	9
6/6/2020	Alpena	Michigan	26007	104	9
6/7/2020	Alpena	Michigan	26007	104	9
6/8/2020	Alpena	Michigan	26007	107	9
6/9/2020	Alpena	Michigan	26007	108	9
6/10/2020	Alpena	Michigan	26007	113	9
6/11/2020	Alpena	Michigan	26007	114	11
6/12/2020	Alpena	Michigan	26007	115	12
6/13/2020	Alpena	Michigan	26007	115	12
6/14/2020	Alpena	Michigan	26007	115	12
6/15/2020	Alpena	Michigan	26007	115	13
6/16/2020	Alpena	Michigan	26007	115	12
6/17/2020	Alpena	Michigan	26007	115	12
6/18/2020	Alpena	Michigan	26007	115	12
6/19/2020	Alpena	Michigan	26007	115	12
6/20/2020	Alpena	Michigan	26007	115	12
6/21/2020	Alpena	Michigan	26007	115	12
6/22/2020	Alpena	Michigan	26007	116	12
6/23/2020	Alpena	Michigan	26007	116	12
6/24/2020	Alpena	Michigan	26007	116	12
6/25/2020	Alpena	Michigan	26007	117	12
6/26/2020	Alpena	Michigan	26007	117	12
6/27/2020	Alpena	Michigan	26007	117	12
6/28/2020	Alpena	Michigan	26007	118	12
6/29/2020	Alpena	Michigan	26007	119	12
6/30/2020	Alpena	Michigan	26007	120	12
7/1/2020	Alpena	Michigan	26007	122	12
7/2/2020	Alpena	Michigan	26007	122	12
7/3/2020	Alpena	Michigan	26007	123	12
7/4/2020	Alpena	Michigan	26007	123	12
7/5/2020	Alpena	Michigan	26007	123	12
7/6/2020	Alpena	Michigan	26007	123	12
7/7/2020	Alpena	Michigan	26007	123	12
7/8/2020	Alpena	Michigan	26007	123	12
3/30/2020	Antrim	Michigan	26009	2	0
3/31/2020	Antrim	Michigan	26009	3	0
4/1/2020	Antrim	Michigan	26009	4	0
4/2/2020	Antrim	Michigan	26009	4	0
4/3/2020	Antrim	Michigan	26009	4	0
4/4/2020	Antrim	Michigan	26009	4	0
4/5/2020	Antrim	Michigan	26009	4	0
4/6/2020	Antrim	Michigan	26009	5	0
4/7/2020	Antrim	Michigan	26009	6	0
4/8/2020	Antrim	Michigan	26009	6	0
4/9/2020	Antrim	Michigan	26009	6	0
4/10/2020	Antrim	Michigan	26009	6	0
4/11/2020	Antrim	Michigan	26009	7	0
4/12/2020	Antrim	Michigan	26009	8	0
4/13/2020	Antrim	Michigan	26009	8	0
4/14/2020	Antrim	Michigan	26009	8	0
4/15/2020	Antrim	Michigan	26009	9	0
4/16/2020	Antrim	Michigan	26009	9	0
4/17/2020	Antrim	Michigan	26009	8	0
4/18/2020	Antrim	Michigan	26009	8	0
4/19/2020	Antrim	Michigan	26009	9	0
4/20/2020	Antrim	Michigan	26009	9	0
4/21/2020	Antrim	Michigan	26009	9	0
4/22/2020	Antrim	Michigan	26009	9	0
4/23/2020	Antrim	Michigan	26009	9	0
4/24/2020	Antrim	Michigan	26009	9	0
4/25/2020	Antrim	Michigan	26009	10	1
4/26/2020	Antrim	Michigan	26009	9	0
4/27/2020	Antrim	Michigan	26009	9	0
4/28/2020	Antrim	Michigan	26009	9	0
4/29/2020	Antrim	Michigan	26009	10	0
4/30/2020	Antrim	Michigan	26009	10	0
5/1/2020	Antrim	Michigan	26009	10	0
5/2/2020	Antrim	Michigan	26009	10	0
5/3/2020	Antrim	Michigan	26009	10	0
5/4/2020	Antrim	Michigan	26009	10	0
5/5/2020	Antrim	Michigan	26009	10	0
5/6/2020	Antrim	Michigan	26009	10	0
5/7/2020	Antrim	Michigan	26009	10	0
5/8/2020	Antrim	Michigan	26009	10	0
5/9/2020	Antrim	Michigan	26009	10	0
5/10/2020	Antrim	Michigan	26009	10	0
5/11/2020	Antrim	Michigan	26009	10	0
5/12/2020	Antrim	Michigan	26009	10	0
5/13/2020	Antrim	Michigan	26009	10	0
5/14/2020	Antrim	Michigan	26009	10	0
5/15/2020	Antrim	Michigan	26009	10	0
5/16/2020	Antrim	Michigan	26009	11	0
5/17/2020	Antrim	Michigan	26009	11	0
5/18/2020	Antrim	Michigan	26009	11	0
5/19/2020	Antrim	Michigan	26009	11	0
5/20/2020	Antrim	Michigan	26009	11	0
5/21/2020	Antrim	Michigan	26009	11	0
5/22/2020	Antrim	Michigan	26009	11	0
5/23/2020	Antrim	Michigan	26009	11	0
5/24/2020	Antrim	Michigan	26009	11	0
5/25/2020	Antrim	Michigan	26009	11	0
5/26/2020	Antrim	Michigan	26009	12	0
5/27/2020	Antrim	Michigan	26009	12	0
5/28/2020	Antrim	Michigan	26009	12	0
5/29/2020	Antrim	Michigan	26009	12	0
5/30/2020	Antrim	Michigan	26009	12	0
5/31/2020	Antrim	Michigan	26009	12	0
6/1/2020	Antrim	Michigan	26009	13	0
6/2/2020	Antrim	Michigan	26009	13	0
6/3/2020	Antrim	Michigan	26009	13	0
6/4/2020	Antrim	Michigan	26009	13	0
6/5/2020	Antrim	Michigan	26009	13	0
6/6/2020	Antrim	Michigan	26009	13	0
6/7/2020	Antrim	Michigan	26009	13	0
6/8/2020	Antrim	Michigan	26009	13	0
6/9/2020	Antrim	Michigan	26009	13	0
6/10/2020	Antrim	Michigan	26009	14	0
6/11/2020	Antrim	Michigan	26009	14	0
6/12/2020	Antrim	Michigan	26009	14	0
6/13/2020	Antrim	Michigan	26009	14	0
6/14/2020	Antrim	Michigan	26009	14	0
6/15/2020	Antrim	Michigan	26009	14	0
6/16/2020	Antrim	Michigan	26009	14	0
